geometry,load_path,split,samples,nodes,elements,load_steps,fields,has_final_tangent,has_tangent_sequence,newton_residual_rms,reference_energy_mean,size_mb,path
curved_hole_14x11,cyclic,test,1,534,236,3,2,False,False,0.0010870949494996114,-0.00017515190211579807,0.20211219787597656,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\curved_hole_14x11\cyclic\test.npz
curved_hole_14x11,cyclic,train,2,536,238,3,2,False,False,0.0006335794644059067,-0.00011049974067336696,0.3855266571044922,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\curved_hole_14x11\cyclic\train.npz
curved_hole_14x11,monotonic,test,1,534,236,3,2,False,False,0.0015725123229363579,-0.0003282833821416957,0.20212364196777344,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\curved_hole_14x11\monotonic\test.npz
curved_hole_14x11,monotonic,train,2,532,236,3,2,False,False,0.0015735330821807327,-0.0003576785515341916,0.38251686096191406,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\curved_hole_14x11\monotonic\train.npz
curved_hole_14x11,nonproportional,test,1,534,236,3,2,False,False,0.0020713677895938787,-0.0005191586871902563,0.2021465301513672,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\curved_hole_14x11\nonproportional\test.npz
curved_hole_14x11,nonproportional,train,2,536,238,3,2,False,False,0.0013243413621182218,-0.000363657272329493,0.3855609893798828,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\curved_hole_14x11\nonproportional\train.npz
curved_hole_14x11,unload_reload,test,1,534,236,3,2,False,False,0.0016537274050955877,-0.000353260128992168,0.20213890075683594,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\curved_hole_14x11\unload_reload\test.npz
curved_hole_14x11,unload_reload,train,2,536,238,3,2,False,False,0.001167649270337998,-0.00029691747290133685,0.38555335998535156,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\curved_hole_14x11\unload_reload\train.npz
curved_hole_16x12,cyclic,test,1,668,300,3,2,False,False,0.0006602265583184944,-0.0001211940482520614,0.25286293029785156,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\curved_hole_16x12\cyclic\test.npz
curved_hole_16x12,cyclic,train,2,669,299,3,2,False,False,0.0007430169642853705,-0.00010807819324354266,0.48081016540527344,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\curved_hole_16x12\cyclic\train.npz
curved_hole_16x12,monotonic,test,1,668,300,3,2,False,False,0.0013434557956852609,-0.00032744975025645625,0.25287437438964844,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\curved_hole_16x12\monotonic\test.npz
curved_hole_16x12,monotonic,train,2,669,299,3,2,False,False,0.0014436954317374369,-0.0002612499410752315,0.4808216094970703,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\curved_hole_16x12\monotonic\train.npz
curved_hole_16x12,nonproportional,test,1,668,300,3,2,False,False,0.001798736574952981,-0.0005362942378647622,0.2528972625732422,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\curved_hole_16x12\nonproportional\test.npz
curved_hole_16x12,nonproportional,train,2,669,299,3,2,False,False,0.0017905920246886497,-0.0004060445388257808,0.48084449768066406,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\curved_hole_16x12\nonproportional\train.npz
curved_hole_16x12,unload_reload,test,1,668,300,3,2,False,False,0.0014294745054810225,-0.00036552257278429137,0.25288963317871094,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\curved_hole_16x12\unload_reload\test.npz
curved_hole_16x12,unload_reload,train,2,669,299,3,2,False,False,0.001514872118635151,-0.00029034932148769944,0.4808368682861328,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\curved_hole_16x12\unload_reload\train.npz
curved_hole_18x14,cyclic,test,1,881,401,3,2,False,False,0.0004792121994963145,-8.148193597675881e-05,0.33320045471191406,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\curved_hole_18x14\cyclic\test.npz
curved_hole_18x14,cyclic,train,2,888,404,3,2,False,False,0.000527493976620207,-0.00012156701572303061,0.6420269012451172,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\curved_hole_18x14\cyclic\train.npz
curved_hole_18x14,monotonic,test,1,881,401,3,2,False,False,0.0007081242691030248,-0.0001640839919685624,0.33321189880371094,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\curved_hole_18x14\monotonic\test.npz
curved_hole_18x14,monotonic,train,2,888,404,3,2,False,False,0.0009491524031624365,-0.0002858065124405424,0.6420383453369141,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\curved_hole_18x14\monotonic\train.npz
curved_hole_18x14,nonproportional,test,1,881,401,3,2,False,False,0.000869060124602916,-0.00022479078968543713,0.3332347869873047,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\curved_hole_18x14\nonproportional\test.npz
curved_hole_18x14,nonproportional,train,2,888,404,3,2,False,False,0.0011402173726684794,-0.00035783655230040636,0.6420612335205078,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\curved_hole_18x14\nonproportional\train.npz
curved_hole_18x14,unload_reload,test,1,881,401,3,2,False,False,0.0007464620083220213,-0.0001795980637879822,0.33322715759277344,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\curved_hole_18x14\unload_reload\test.npz
curved_hole_18x14,unload_reload,train,2,888,404,3,2,False,False,0.0010868856789514193,-0.00035943315297764914,0.6420536041259766,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\curved_hole_18x14\unload_reload\train.npz
multi_hole_14x11,cyclic,test,1,530,231,3,2,False,False,0.0008212797216993953,-0.00012876877733755495,0.1991558074951172,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\multi_hole_14x11\cyclic\test.npz
multi_hole_14x11,cyclic,train,2,532,233,3,2,False,False,0.0007062692004335151,-0.00011978989315552826,0.3796863555908203,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\multi_hole_14x11\cyclic\train.npz
multi_hole_14x11,monotonic,test,1,530,231,3,2,False,False,0.0016732254877863094,-0.00036340522172741233,0.19916725158691406,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\multi_hole_14x11\monotonic\test.npz
multi_hole_14x11,monotonic,train,2,532,233,3,2,False,False,0.0011214124668248587,-0.00027787742151414433,0.3796977996826172,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\multi_hole_14x11\monotonic\train.npz
multi_hole_14x11,nonproportional,test,1,530,231,3,2,False,False,0.0023264217198466987,-0.0006264960630885003,0.1991901397705078,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\multi_hole_14x11\nonproportional\test.npz
multi_hole_14x11,nonproportional,train,2,532,233,3,2,False,False,0.0013553745705557375,-0.0003483286288479634,0.37972068786621094,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\multi_hole_14x11\nonproportional\train.npz
multi_hole_14x11,unload_reload,test,1,530,231,3,2,False,False,0.0018028566972321323,-0.00042616795185163216,0.19918251037597656,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\multi_hole_14x11\unload_reload\test.npz
multi_hole_14x11,unload_reload,train,2,532,233,3,2,False,False,0.0011845807115237867,-0.0003045164842808796,0.3797130584716797,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\multi_hole_14x11\unload_reload\train.npz
multi_hole_16x12,cyclic,test,1,674,299,3,2,False,False,0.000660768299547084,-0.00013310131437089387,0.2533245086669922,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\multi_hole_16x12\cyclic\test.npz
multi_hole_16x12,cyclic,train,2,672,299,3,2,False,False,0.0005373093158239531,-0.00010987597924919734,0.4816761016845703,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\multi_hole_16x12\cyclic\train.npz
multi_hole_16x12,monotonic,test,1,674,299,3,2,False,False,0.0013642579455849493,-0.00038278113052327823,0.25333595275878906,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\multi_hole_16x12\monotonic\test.npz
multi_hole_16x12,monotonic,train,2,672,299,3,2,False,False,0.0009763851843838228,-0.00026615226704197655,0.4816875457763672,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\multi_hole_16x12\monotonic\train.npz
multi_hole_16x12,nonproportional,test,1,674,299,3,2,False,False,0.0019042182897056493,-0.0006522895308101692,0.2533588409423828,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\multi_hole_16x12\nonproportional\test.npz
multi_hole_16x12,nonproportional,train,2,672,299,3,2,False,False,0.0012702450489878016,-0.00038377599361322034,0.48171043395996094,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\multi_hole_16x12\nonproportional\train.npz
multi_hole_16x12,unload_reload,test,1,674,299,3,2,False,False,0.0014793695918797407,-0.00044955954401932117,0.25335121154785156,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\multi_hole_16x12\unload_reload\test.npz
multi_hole_16x12,unload_reload,train,2,672,299,3,2,False,False,0.0010337797378124948,-0.0002933786192161265,0.4817028045654297,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\multi_hole_16x12\unload_reload\train.npz
multi_hole_18x14,cyclic,test,1,887,400,3,2,False,False,0.000554065976399656,-0.00011922924379110481,0.3336620330810547,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\multi_hole_18x14\cyclic\test.npz
multi_hole_18x14,cyclic,train,2,885,400,3,2,False,False,0.0005400248463426335,-0.000117775659307209,0.6374149322509766,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\multi_hole_18x14\cyclic\train.npz
multi_hole_18x14,monotonic,test,1,887,400,3,2,False,False,0.0011636421959206778,-0.00036541959330641346,0.33367347717285156,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\multi_hole_18x14\monotonic\test.npz
multi_hole_18x14,monotonic,train,2,885,400,3,2,False,False,0.0010958740519174735,-0.00030635904279874423,0.6374263763427734,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\multi_hole_18x14\monotonic\train.npz
multi_hole_18x14,nonproportional,test,1,887,400,3,2,False,False,0.0012860493176155617,-0.00038178563116674814,0.3336963653564453,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\multi_hole_18x14\nonproportional\test.npz
multi_hole_18x14,nonproportional,train,2,885,400,3,2,False,False,0.0015037553495397594,-0.0005086600522432341,0.6374492645263672,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\multi_hole_18x14\nonproportional\train.npz
multi_hole_18x14,unload_reload,test,1,887,400,3,2,False,False,0.001271400561929333,-0.0004290046075051102,0.33368873596191406,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\multi_hole_18x14\unload_reload\test.npz
multi_hole_18x14,unload_reload,train,2,885,400,3,2,False,False,0.00117620241448024,-0.0003539043272118782,0.6374416351318359,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\multi_hole_18x14\unload_reload\train.npz
notch_14x11,cyclic,test,1,543,244,3,2,False,False,0.0005991257915025385,-6.647875888598916e-05,0.20722389221191406,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\notch_14x11\cyclic\test.npz
notch_14x11,cyclic,train,2,545,246,3,2,False,False,0.0006503025954505058,-5.6787398666512e-05,0.39558982849121094,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\notch_14x11\cyclic\train.npz
notch_14x11,monotonic,test,1,543,244,3,2,False,False,0.0010926741977620013,-0.00016171881294244333,0.20723533630371094,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\notch_14x11\monotonic\test.npz
notch_14x11,monotonic,train,2,545,246,3,2,False,False,0.0013161184432109161,-0.00016113255454267093,0.3956012725830078,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\notch_14x11\monotonic\train.npz
notch_14x11,nonproportional,test,1,543,244,3,2,False,False,0.0013358128435124682,-0.00022044642225060247,0.2072582244873047,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\notch_14x11\nonproportional\test.npz
notch_14x11,nonproportional,train,2,545,246,3,2,False,False,0.0017861660519459639,-0.00026705576799129874,0.39562416076660156,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\notch_14x11\nonproportional\train.npz
notch_14x11,unload_reload,test,1,543,244,3,2,False,False,0.00114001359036244,-0.00017130010794346787,0.20725059509277344,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\notch_14x11\unload_reload\test.npz
notch_14x11,unload_reload,train,2,545,246,3,2,False,False,0.001455516273759324,-0.00020781086368282177,0.3956165313720703,05_data_pipeline\processed\level4_formal_complex_j2_t6_shard\notch_14x11\unload_reload\train.npz
